consequence	adsp_ranking	adsp_impact	ensembl_ranking	ensembl_impact	genomicsdb_consequence
splice_acceptor_variant,splice_donor_variant,coding_sequence_variant,intron_variant,NMD_transcript_variant	121	MODIFIER	2	HIGH	
splice_acceptor_variant,splice_donor_variant,intron_variant,NMD_transcript_variant	122	MODIFIER	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant,NMD_transcript_variant	123	MODIFIER	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	124	MODIFIER	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,intron_variant,NMD_transcript_variant	125	MODIFIER	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,NMD_transcript_variant	126	MODIFIER	2	HIGH	
splice_acceptor_variant,5_prime_UTR_variant,intron_variant,NMD_transcript_variant	127	MODIFIER	2	HIGH	
splice_acceptor_variant,5_prime_UTR_variant,NMD_transcript_variant	128	MODIFIER	2	HIGH	
splice_acceptor_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	129	MODIFIER	2	HIGH	
splice_acceptor_variant,3_prime_UTR_variant,NMD_transcript_variant	130	MODIFIER	2	HIGH	
splice_acceptor_variant,intron_variant,NMD_transcript_variant	131	MODIFIER	2	HIGH	
splice_acceptor_variant,NMD_transcript_variant	132	MODIFIER	3	HIGH	
splice_donor_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant,NMD_transcript_variant	133	MODIFIER	3	HIGH	
splice_donor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	134	MODIFIER	3	HIGH	
splice_donor_variant,coding_sequence_variant,3_prime_UTR_variant,NMD_transcript_variant	135	MODIFIER	3	HIGH	
splice_donor_variant,5_prime_UTR_variant,intron_variant,NMD_transcript_variant	136	MODIFIER	3	HIGH	
splice_donor_variant,5_prime_UTR_variant,NMD_transcript_variant	137	MODIFIER	3	HIGH	
splice_donor_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	138	MODIFIER	3	HIGH	
splice_donor_variant,3_prime_UTR_variant,NMD_transcript_variant	139	MODIFIER	3	HIGH	
splice_donor_variant,coding_sequence_variant,intron_variant,NMD_transcript_variant	140	MODIFIER	3	HIGH	
splice_donor_variant,coding_sequence_variant,NMD_transcript_variant	141	MODIFIER	3	HIGH	
splice_donor_variant,intron_variant,NMD_transcript_variant	142	MODIFIER	3	HIGH	
splice_donor_variant,NMD_transcript_variant	143	MODIFIER	3	HIGH	
stop_gained,start_lost,NMD_transcript_variant	144	MODIFIER	4	HIGH	
stop_gained,frameshift_variant,splice_region_variant,NMD_transcript_variant	145	MODIFIER	4	HIGH	
stop_gained,frameshift_variant,NMD_transcript_variant	146	MODIFIER	4	HIGH	
stop_gained,inframe_insertion,splice_region_variant,NMD_transcript_variant	147	MODIFIER	4	HIGH	
stop_gained,inframe_insertion,NMD_transcript_variant	148	MODIFIER	4	HIGH	
stop_gained,inframe_deletion,splice_region_variant,NMD_transcript_variant	149	MODIFIER	4	HIGH	
stop_gained,inframe_deletion,NMD_transcript_variant	150	MODIFIER	4	HIGH	
stop_gained,protein_altering_variant,NMD_transcript_variant	151	MODIFIER	4	HIGH	
stop_gained,splice_region_variant,NMD_transcript_variant	152	MODIFIER	4	HIGH	
stop_gained,NMD_transcript_variant	153	MODIFIER	4	HIGH	
frameshift_variant,stop_lost,splice_region_variant,NMD_transcript_variant	154	MODIFIER	5	HIGH	
frameshift_variant,stop_lost,NMD_transcript_variant	155	MODIFIER	5	HIGH	
frameshift_variant,start_lost,splice_region_variant,NMD_transcript_variant	156	MODIFIER	5	HIGH	
frameshift_variant,start_lost,NMD_transcript_variant	157	MODIFIER	5	HIGH	
frameshift_variant,splice_region_variant,stop_retained_variant,NMD_transcript_variant	158	MODIFIER	5	HIGH	
frameshift_variant,splice_region_variant,NMD_transcript_variant	159	MODIFIER	5	HIGH	
frameshift_variant,stop_retained_variant,NMD_transcript_variant	160	MODIFIER	5	HIGH	
frameshift_variant,start_lost,start_retained_variant,NMD_transcript_variant	161	MODIFIER	5	HIGH	
frameshift_variant,NMD_transcript_variant	162	MODIFIER	5	HIGH	
stop_lost,inframe_deletion,NMD_transcript_variant	163	MODIFIER	6	HIGH	
stop_lost,splice_region_variant,NMD_transcript_variant	164	MODIFIER	6	HIGH	
stop_lost,3_prime_UTR_variant,NMD_transcript_variant	165	MODIFIER	6	HIGH	
stop_lost,NMD_transcript_variant	166	MODIFIER	6	HIGH	
start_lost,inframe_deletion,NMD_transcript_variant	167	MODIFIER	7	HIGH	
start_lost,splice_region_variant,NMD_transcript_variant	168	MODIFIER	7	HIGH	
start_lost,5_prime_UTR_variant,NMD_transcript_variant	169	MODIFIER	7	HIGH	
start_lost,NMD_transcript_variant	170	MODIFIER	7	HIGH	
inframe_insertion,splice_region_variant,NMD_transcript_variant	171	MODIFIER	7	MODERATE	
inframe_insertion,NMD_transcript_variant	172	MODIFIER	8	MODERATE	
inframe_insertion,coding_sequence_variant,NMD_transcript_variant	173	MODIFIER	8	MODERATE	
inframe_deletion,splice_region_variant,NMD_transcript_variant	174	MODIFIER	9	MODERATE	
inframe_deletion,NMD_transcript_variant	175	MODIFIER	9	MODERATE	
missense_variant,splice_region_variant,NMD_transcript_variant	176	MODIFIER	10	MODERATE	
missense_variant,NMD_transcript_variant	177	MODIFIER	10	MODERATE	
protein_altering_variant,splice_region_variant,NMD_transcript_variant	178	MODIFIER	11	MODERATE	
protein_altering_variant,NMD_transcript_variant	179	MODIFIER	11	MODERATE	
splice_region_variant,stop_retained_variant,NMD_transcript_variant	180	MODIFIER	12	LOW	
splice_region_variant,coding_sequence_variant,NMD_transcript_variant	181	MODIFIER	12	LOW	
splice_region_variant,coding_sequence_variant,3_prime_UTR_variant,NMD_transcript_variant	182	MODIFIER	12	LOW	
splice_region_variant,synonymous_variant,NMD_transcript_variant	183	MODIFIER	12	LOW	
splice_region_variant,5_prime_UTR_variant,NMD_transcript_variant	184	MODIFIER	12	LOW	
splice_region_variant,3_prime_UTR_variant,NMD_transcript_variant	185	MODIFIER	12	LOW	
splice_region_variant,intron_variant,NMD_transcript_variant	186	MODIFIER	12	LOW	
incomplete_terminal_codon_variant,coding_sequence_variant,3_prime_UTR_variant,NMD_transcript_variant	187	MODIFIER	13	LOW	
incomplete_terminal_codon_variant,coding_sequence_variant,NMD_transcript_variant	188	MODIFIER	13	LOW	
start_retained_variant,5_prime_UTR_variant,NMD_transcript_variant	189	MODIFIER	13	LOW	
start_retained_variant,NMD_transcript_variant	190	MODIFIER	13	LOW	
stop_retained_variant,3_prime_UTR_variant,NMD_transcript_variant	191	MODIFIER	13	LOW	
stop_retained_variant,NMD_transcript_variant	192	MODIFIER	14	LOW	
synonymous_variant,NMD_transcript_variant	193	MODIFIER	15	LOW	
coding_sequence_variant,5_prime_UTR_variant,NMD_transcript_variant	194	MODIFIER	16	MODIFIER	
coding_sequence_variant,3_prime_UTR_variant,NMD_transcript_variant	195	MODIFIER	16	MODIFIER	
coding_sequence_variant,NMD_transcript_variant	196	MODIFIER	16	MODIFIER	
5_prime_UTR_variant,NMD_transcript_variant	197	MODIFIER	17	MODIFIER	
3_prime_UTR_variant,NMD_transcript_variant	198	MODIFIER	18	MODIFIER	
intron_variant,NMD_transcript_variant	199	MODIFIER	20	MODIFIER	
splice_acceptor_variant,splice_donor_variant,non_coding_transcript_exon_variant,intron_variant,non_coding_transcript_variant	200	MODIFIER	2	HIGH	
splice_acceptor_variant,splice_donor_variant,non_coding_transcript_exon_variant,intron_variant	201	MODIFIER	2	HIGH	
splice_acceptor_variant,splice_donor_variant,intron_variant,non_coding_transcript_variant	202	MODIFIER	2	HIGH	
splice_acceptor_variant,non_coding_transcript_exon_variant,intron_variant,non_coding_transcript_variant	203	MODIFIER	2	HIGH	
splice_acceptor_variant,non_coding_transcript_exon_variant,intron_variant	204	MODIFIER	2	HIGH	
splice_acceptor_variant,non_coding_transcript_exon_variant	205	MODIFIER	2	HIGH	
splice_acceptor_variant,intron_variant,non_coding_transcript_variant	206	MODIFIER	2	HIGH	
splice_acceptor_variant,non_coding_transcript_exon_variant,non_coding_transcript_variant	207	MODIFIER	2	HIGH	
splice_acceptor_variant,non_coding_transcript_variant	208	MODIFIER	2	HIGH	
splice_donor_variant,non_coding_transcript_exon_variant,intron_variant,non_coding_transcript_variant	209	MODIFIER	3	HIGH	
splice_donor_variant,non_coding_transcript_exon_variant,non_coding_transcript_variant	210	MODIFIER	3	HIGH	
splice_donor_variant,non_coding_transcript_exon_variant,intron_variant	211	MODIFIER	3	HIGH	
splice_donor_variant,intron_variant,non_coding_transcript_variant	212	MODIFIER	3	HIGH	
splice_donor_variant,non_coding_transcript_variant	213	MODIFIER	3	HIGH	
splice_region_variant,non_coding_transcript_exon_variant,non_coding_transcript_variant	214	MODIFIER	13	LOW	
splice_region_variant,non_coding_transcript_exon_variant,intron_variant,non_coding_transcript_variant	214.1	MODIFIER			T
splice_donor_variant,non_coding_transcript_exon_variant	215	MODIFIER	13	LOW	
splice_region_variant,non_coding_transcript_exon_variant	216	MODIFIER	13	LOW	
splice_region_variant,intron_variant,non_coding_transcript_variant	217	MODIFIER	13	LOW	
splice_region_variant,non_coding_transcript_variant	218	MODIFIER	13	LOW	
non_coding_transcript_exon_variant,non_coding_transcript_variant	219	MODIFIER	21	MODIFIER	
non_coding_transcript_exon_variant	220	MODIFIER	21	MODIFIER	
intron_variant,non_coding_transcript_variant	221	MODIFIER	22	MODIFIER	
non_coding_transcript_variant	222	MODIFIER	24	MODIFIER	
upstream_gene_variant	223	MODIFIER	25	MODIFIER	
downstream_gene_variant	224	MODIFIER	26	MODIFIER	
TF_binding_site_variant,TFBS_ablation	225	MODIFIER	29	MODIFIER	
TF_binding_site_variant	226	MODIFIER	29	MODIFIER	
regulatory_region_ablation	226.8	MODIFIER			T
regulatory_region_variant,regulatory_region_ablation	226.9	MODIFIER			T
regulatory_region_variant	227	MODIFIER	32	MODIFIER	
intergenic_variant	228	MODIFIER	35	MODIFIER	
